Id;Title
0;В России выпустят собственную криптовалюту — крипторубль
1;Китай предложил Татарстану сотрудничество в сфере малой авиации
2;Заводоуковский завод «Битекс» поставил новый рекорд
3;Заводоуковский завод установил новый производственный рекорд
4;Глава ФРС заявила об усилении экономической активности в США
5;Россия срочно создает крипторубль
6;Инженеры стали самыми востребованными на рынке труда
7;Минимальный продуктовый набор в РФ подорожал на 1,1%
8;Bloomberg рассказал о подрядчике строительства сахалинского моста
9;Лагард на фоне экономического подъема призвала страны к реформам
10;Россияне переходят с чая на кофе
11;«Почта России» предложила брать пошлину с интернет-покупок дороже €50
12;Названы самые востребованные в России профессии
13;Россияне стали потреблять на 20% больше кофе
14;Продуктовый минимум вернулся к прошлому году
15;В России может появиться криптодетективное агентство
16;Правительство внесло изменения в программу развития Курил
17;Китай и Татарстан планируют сотрудничать в сфере малой авиации
18;Кабмин увеличил финансирование федеральной программы развития Курил
19;Правительство увеличило финансирование программы развития Курил
20;Стали известны самые востребованные профессии в России
21;Bloomberg назвал подрядчика строительства сахалинского моста
22;Польша отказалась от кредита МВФ на 9,2 млрд долларов
23;Силуанов не видит смысла тратить деньги из Резервного фонда
24;Бычий тренд по нефти сохранится до ноября
25;Сбербанк с 16 октября снижает ставки по потребительским кредитам
26;Инженеры признаны самыми востребованными на рынке труда в РФ
27;В России займутся выпуском крипторубля
28;В РФ может появиться криптодетективное агентство
29;Рубль растет на открытии торгов
30;Курс доллара на торгах Московской биржи опустился ниже 57 рублей
31;Сбербанк снизил процентные ставки по ряду кредитов
32;Инженеры стали самыми востребованными на рынке труда РФ в сентябре
33;«Технопромэкспорт» подал встречный иск к Siemens по сделке с турбинами
34;Доллар упал до 57 рублей впервые с начала сентября
35;В России создадут свою криптовалюту
36;Россия начнет выпускать крипторубли
37;Сбербанк снизил ставки по ряду кредитов
38;Криптодетективное агентство может появиться в России
39;ФАС предложила продавать дешевые презервативы в вендинговых аппаратах
40;Структуры «Ростеха» подали встречный иск к Siemens по турбинам
41;Стоимость нефти Brent стремится к $58 за баррель, WTI дорожает слабее
42;Россия выпустит собственную криптовалюту – крипторубль
43;Завод «Битекс-Сибирь» установил новый производительный рекорд
44;Дворкович не поддержал снижение порога беспошлинной интернет-торговли
45;ФАС предложила правительству снизить цены на презервативы
46;Стоимости нефти марки Brent превысила 58 долларов
47;Доллар подешевел до 57 рублей впервые с сентября
48;Сбербанк с 16 октября снизил ставки по потребительским кредитам
49;Россияне стали больше пить кофе
50;Медведев: Российская экономика вошла в фазу роста
51;Названы самые востребованные профессии в России
52;Медведев ожидает инфляцию по итогам 2017 года чуть выше 3%
53;Минтруд назвал самые востребованные профессии в России
54;Дмитрий Медведев заявил о двукратном росте иностранных инвестиций
55;Медведев: экономика России вошла в фазу роста
56;Россияне стали на 20% больше пить кофе
57;«Почта России» предложила пошлину за ввоз интернет-покупок дороже €50
58;Размер пошлин с интернет-покупок в РФ обсудят через месяц
59;Медведев проведет заседание Консультативного совета по иностранным инвестициям
60;Медведев спрогнозировал инфляцию в РФ в 2017 году "чуть больше 3%"
61;Дворкович: судьба «ВИМ-Авиа» решится после 22 октября
62;ВТБ снижает минимальную ставку по кредитам наличными до 12,9% годовых
63;Механизм сбора пошлин с интернет-покупок представят через месяц
64;Нефть продолжает дорожать, Brent превысила $58 за баррель
65;«Технопромэкспорт» тоже оспорит договор о турбинах для Крыма
66;Стоимость нефти сорта Brent превысила 57 долларов
67;Прямые инвестиции в РФ в первом полугодии 2017 года составили $14 млрд
68;Минимальный набор продуктов питания в России подорожал
69;Структуры Ростеха подали встречный иск к Siemens
70;ФАС предложила продавать дешевые презервативы через автоматы
71;ВТБ снизил минимальную ставку по кредитам наличными
72;ФАС разработала план снижения цен на презервативы
73;Структуры «Ростеха» подали встречный иск против Siemens
74;ФАС назвала высокими цены на авиабилеты в России
75;«Почта России» инициирует взимание пошлин с интернет-посылок
76;Курский губернатор рассказал Путину про «долговую кабалу»
77;Экономика Курской области за 15 лет выросла в два раза
78;Губернатор Курской области отчитался президенту РФ о росте инвестиций
79;ФАС считает завышенными цены на авиабилеты
80;Счетная палата видит риски неисполнения майских указов по зарплатам
81;Голикова рассказал о риске неисполнения «майских указов» президента
82;Майские указы Путина оказались под угрозой срыва
83;ФАС нашла ряд механизмов снижения цен на презервативы
84;Голикова рассказала о риске неисполнения «майских указов» президента
85;Силуанов определил уровень роста реальных зарплат в 2018 году
86;Курский губернатор рассказал Путину, как справится с долгами бюджета
87;Glencore договорился с CEFC о продаже 14,16% акций «Роснефти»
88;Подрядчика строительства моста на Сахалин еще не выбрали
89;Компания Пореченкова расторгла контракт на создание киностудии в Крыму
90;Против Siemens подан встречный иск по делу о турбинах
91;Курский губернатор рассказал Президенту России об успехах региона
92;ФАС запросила данные о ценообразовании на билеты у авиакомпаний
93;Bloomberg: Мост на Сахалин за 450 млрд построит Ротенберг
94;Bombardier может запустить совместное производство с Airbus
95;Отель Hyatt во Владивостоке сняли с торгов
96;Страховщики начнут сами определять тарифы ОСАГО с лета 2018-го года
97;Торги по продаже отеля Hyatt во Владивостоке отменены
98;Правительство планирует импортозаместить детское питание в РФ
99;Севастополю выделили 500 миллионов рублей на развитие инфраструктуры
